LogID,Username,Password,FullName,Email,Phone,AccountBalance,KYCStatus,CreatedAt,AccountNumber,IFSC,AccountID,Timestamp,TransactionType,Description,SessionID,TransactionAmount,SessionDuration,LoginHour,FailedLoginCount,NewDeviceLogin,PasswordChanged,Channel,PagesVisited,ClickRate,RapidTransactions,BeneficiaryAdded,LargeTransaction,DeviceTrustScore,CyberRiskScore,RiskLabel,BeneficiaryName
LOG-3cd7d91c,martinezjames,1mTyzLqf@sp),Sara Murphy,shelleygonzalez@example.org,+1-578-741-2651x6454,37005.98,Pending,2025-09-24 00:47:30,73519770993,FLUX0WOBPBH,AC1570,2025-10-01 18:29:08,Login,Music newspaper also prepare listen,SES-10a0d48f,9126.61,34,2,4,1,0,Mobile,13,13,1,1,1,0.6,48,1,Crystal Brown
LOG-2a00ac87,harriswhitney,qR2Zbp_B!7Qo,Travis Foster,michaelmahoney@example.org,(242)273-3992,82559.41,Pending,2025-05-22 11:47:40,22709356002,FLUX0KBTGJB,AC1495,2025-08-06 02:28:40,Login,Receive than field,SES-0c7dabd3,6229.95,23,2,2,0,0,Mobile,4,3,1,1,1,0.43,45,1,Catherine Gray
LOG-0a875943,susan76,W1Sf$GCM^sxJ,Samantha Wright,charles90@example.com,439-428-0539,77437.91,Pending,2025-05-08 18:12:27,24206903710,FLUX0DVPVYG,AC1070,2025-10-12 18:29:05,Credit,Go remain within address,SES-a068f7bd,6579.84,43,23,4,0,0,Mobile,13,10,0,1,1,0.67,45,1,Patricia Stephenson
LOG-17607d44,timothyhodges,&Qt5$+ryo9n&,Tracy Armstrong,oroberts@example.org,907-654-3651x828,22168.95,Verified,2026-01-23 08:08:37,92465099919,FLUX0AOSTIG,AC1029,2025-03-02 19:25:48,Transfer,New mission stage,SES-6db94de3,2732.41,38,2,3,1,0,Web,12,13,1,1,0,0.54,56,1,Anthony Smith
LOG-628c89c0,brian68,iH^4_4GdXK#h,Patrick Barton,gabriela27@example.org,822.301.2953,25592.37,Pending,2025-11-20 13:13:41,33337669134,FLUX0AICMZZ,AC1485,2025-11-21 05:16:09,Debit,Others just wrong audience road,SES-67f9082d,804.44,665,5,0,0,0,Web,4,5,0,0,0,0.91,17,0,None
LOG-129f6bcd,hmclaughlin,p*4T3rlxj!NQ,Tanya Villa,martinezbrian@example.com,+1-272-654-0432x799,68754.34,Verified,2025-12-28 18:30:05,86965699600,FLUX0OBIYCW,AC1429,2025-05-13 12:47:39,Transfer,Into often decide cut,SES-f452608f,5091.91,25,23,2,0,0,Mobile,6,15,0,1,1,0.54,36,1,Anthony Lewis
LOG-bcbc8ae0,bobbymitchell,#%6WDFn_h+w2,Angela Fernandez,annette72@example.org,(770)818-1540x279,19116.59,Pending,2023-12-06 18:14:22,66773673893,FLUX0QBCZHA,AC1447,2025-07-26 02:18:30,Credit,Paper individual part,SES-dee54c1f,1875.46,703,2,0,0,0,Mobile,10,9,0,1,0,0.91,10,0,Jason King
LOG-a0ba45b9,adamskelly,iE&4y(KuiDDT,Gary Brown,curtisbrittany@example.org,+1-339-902-7895,63224.71,Pending,2024-10-16 17:57:52,21292591245,FLUX0LDWMFZ,AC1645,2025-03-02 22:28:50,Transfer,According face ball,SES-967d8ebd,10216.68,13,3,5,1,0,Web,5,13,1,1,1,0.22,76,1,Robert Perez
LOG-d98354a2,kylelucero,qpX$zB^(V7Sq,Tami Carter,dominguezmichael@example.net,+1-761-296-5522x191,5456.36,Rejected,2025-05-05 10:02:02,03520454312,FLUX0NMVCPX,AC1136,2025-04-28 19:07:04,Transfer,Decade despite bit live join,SES-f4791eb2,51494.34,16,3,5,1,0,Web,6,12,1,1,1,0.27,77,1,Michael Myers
LOG-2db9987f,kyoung,%XXR7Z)dysU%,Martha Vasquez,colson@example.org,2826125912,23441.88,Verified,2023-03-04 10:31:23,58367265571,FLUX0MCJDNM,AC1468,2025-11-15 08:05:50,Transfer,Party participant customer second,SES-164bebbc,976.62,409,8,0,0,0,Web,7,8,0,0,0,0.85,13,0,None
LOG-67c8aa64,matthew34,+1JSaomtlxl*,Robert Mcdonald,jason16@example.net,936-822-5053x2550,77007.58,Pending,2024-08-05 11:58:31,07109290988,FLUX0BVIIDG,AC1059,2026-02-23 17:39:36,Login,Cultural race now physical,SES-2e80f47d,8281.93,17,1,3,0,0,Web,13,14,0,1,1,0.66,38,1,Melissa Osborn
